2026-03-15 15:11:25 - INFO - [用户 ID:1 | 用户名:admin | 姓名:System Admin] - 用户登录
2026-03-15 15:59:58 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 用户登录 | Details: 成功登录系统
2026-03-15 16:10:08 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 用户登录 | Details: 成功登录系统
2026-03-15 16:12:31 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 用户登录 | Details: 成功登录系统
2026-03-15 16:12:31 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看今日预约 | Details: 查看了 2 个今日预约
2026-03-15 16:12:31 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看预约列表 | Details: 获取了 2 个预约，偏移量: 0, 限制: 100，查看所有预约
2026-03-15 16:12:31 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看借用列表 | Details: 获取了 0 个借用记录，偏移量: 0, 限制: 100，查看所有借用
2026-03-15 16:12:35 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志类型 | Details: 获取可用日志类型: ['action', 'error', 'access']
2026-03-15 16:12:35 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 8, 页码: 0, 页大小: 20
2026-03-15 16:12:48 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 access 日志，类型: access, 关键词: 无, 总数: 0, 页码: 0, 页大小: 20
2026-03-15 16:12:48 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 access 日志，类型: access, 关键词: 无, 总数: 0, 页码: 0, 页大小: 20
2026-03-15 16:12:52 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 error 日志，类型: error, 关键词: 无, 总数: 2, 页码: 0, 页大小: 20
2026-03-15 16:12:52 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 error 日志，类型: error, 关键词: 无, 总数: 2, 页码: 0, 页大小: 20
2026-03-15 16:12:54 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 13, 页码: 0, 页大小: 20
2026-03-15 16:12:54 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 14, 页码: 0, 页大小: 20
2026-03-15 16:13:34 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 用户登录 | Details: 成功登录系统
2026-03-15 16:13:34 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看今日预约 | Details: 查看了 2 个今日预约
2026-03-15 16:13:34 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看预约列表 | Details: 获取了 2 个预约，偏移量: 0, 限制: 100，查看所有预约
2026-03-15 16:13:34 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看借用列表 | Details: 获取了 0 个借用记录，偏移量: 0, 限制: 100，查看所有借用
2026-03-15 16:13:56 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 删除会议室 | Details: 会议室ID: 4, 会议室名称: 测试会议室
2026-03-15 16:13:59 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看用户列表 | Details: 获取了 2 个用户，偏移量: 0, 限制: 100
2026-03-15 16:13:59 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看预约列表 | Details: 获取了 2 个预约，偏移量: 0, 限制: 100，查看所有预约
2026-03-15 16:14:00 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看今日预约 | Details: 查看了 2 个今日预约
2026-03-15 16:14:00 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看预约列表 | Details: 获取了 2 个预约，偏移量: 0, 限制: 100，查看所有预约
